DISPOSITION_attached_pic,DISPOSITION_clean_effects,DISPOSITION_comment,DISPOSITION_default,DISPOSITION_dub,DISPOSITION_forced,DISPOSITION_hearing_impaired,DISPOSITION_karaoke,DISPOSITION_lyrics,DISPOSITION_original,DISPOSITION_timed_thumbnails,DISPOSITION_visual_impaired,TAG_album,TAG_artist,TAG_encoder,TAG_genre,TAG_title,TAG_track,avg_frame_rate,bit_rate,bits_per_raw_sample,bits_per_sample,channel_layout,channels,chroma_location,codec_long_name,codec_name,codec_tag,codec_tag_string,codec_time_base,codec_type,coded_height,coded_width,color_primaries,color_range,color_space,color_transfer,display_aspect_ratio,duration,duration_ts,field_order,filename,format_long_name,format_name,has_b_frames,height,id,index,level,max_bit_rate,nb_frames,nb_programs,nb_read_frames,nb_read_packets,nb_streams,pix_fmt,probe_score,profile,r_frame_rate,refs,sample_aspect_ratio,sample_fmt,sample_rate,side_data_type,size,start_pts,start_time,time_base,timecode,width,TAG_AlbumArtist,TAG_WM/MediaPrimaryClassID,TAG_WM/Provider,TAG_WM/ProviderStyle,TAG_WM/Publisher,TAG_WM/UniqueFileIdentifier,TAG_WMFSDKNeeded,TAG_WMFSDKVersion,TAG_Year,TAG_composer,TAG_date,TAG_mp3gain_minmax,TAG_replaygain_track_gain,TAG_replaygain_track_peak,TAG_ENCODEDBY,TAG_PLAY_COUNTER,TAG_PLAY_DATE,TAG_PLAY_TIME,TAG_album_artist,TAG_mp3gain_undo,TAG_WWW
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,可爱女人.mp3,1,0/0,321289,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,239.072653,21516539,unknown,Jay Chou\Jay\0101.可爱女人.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9601454,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,完美主义.mp3,2,0/0,321260,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,244.584490,22012604,unknown,Jay Chou\Jay\0102.完美主义.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9821927,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,星晴.mp3,3,0/0,321188,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,259.448163,23350335,unknown,Jay Chou\Jay\0103.星晴.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10416474,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,娘子.mp3,4,0/0,321137,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,271.046531,24394188,unknown,Jay Chou\Jay\0104.娘子.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10880409,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,斗牛.mp3,5,0/0,321105,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,278.961633,25106547,unknown,Jay Chou\Jay\0105.斗牛.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,11197013,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,黑色幽默.mp3,6,0/0,321088,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,283.193469,25487412,unknown,Jay Chou\Jay\0106.黑色幽默.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,11366286,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,Other,伊斯坦堡.mp3,7,0/0,321473,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,209.214694,18829322,unknown,Jay Chou\Jay\0107.伊斯坦堡.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,8407135,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,,印地安老斑鸠.mp3,8,0/0,320908,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,304.587755,27412898,unknown,Jay Chou\Jay\0108.印地安老斑鸠.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,12218085,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,,龙卷风.mp3,9,0/0,321102,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,250.906122,22581551,unknown,Jay Chou\Jay\0109.龙卷风.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10070813,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,Jay,周杰伦,LAME3.97 ,,反方向的钟.mp3,10,0/0,321073,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389,445,unknown,pc,bt470bg,unknown,445:389,257.645714,23188114,unknown,Jay Chou\Jay\0110.反方向的钟.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,389,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10340403,2255,0.025056,1/90000,N/A,445,,,,,,,,,,,,,,,,,,,,,
