song,attached_pic,album,artist,avg_frame_rate,bit_rate,bits_per_raw_sample,channel_layout,channels,chroma_location,codec_long_name,codec_name,codec_tag,codec_tag_string,codec_time_base,codec_type,coded_height,coded_width,color_primaries,color_range,color_space,color_transfer,display_aspect_ratio,duration,duration_ts,field_order,filename,format_long_name,format_name,has_b_frames,height,index,level,nb_streams,pix_fmt,probe_score,profile,r_frame_rate,refs,sample_aspect_ratio,sample_fmt,sample_rate,size,start_time,time_base,width,lyricist,composer,lyric,arranger,release_date,distributor,lyric_len
可爱女人,1,Jay,周杰伦,0/0,321289,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,239.072653,21516539,unknown,Jay Chou\Jay\0101.可爱女人.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,9601454,0.025056,1/90000,445.0,徐若瑄,周杰伦,"作词：徐若瑄

作曲：周杰伦

编曲：周杰伦

想要有直升机 想要和妳飞到宇宙去

想要和妳融化在一起 融化在银河里

我每天每天每天在想想想想着妳

这样的甜蜜 让我开始相信命运

感谢地心引力 让我碰到妳

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

(间奏)

让我面红的 让我面红的

让我心疼的 让我心疼的

让我感动的 让我感动的

让我疯狂的 让我疯狂的

让我面红的 让我面红的

让我心疼的 让我心疼的

让我感动的 让我感动的

让我疯狂的 让我疯狂的

想要有直升机 想要和妳飞到宇宙去(想要和妳)

想要和妳融化在一起(想要和妳) 融化在银河里

我每天每天每天在想想想想着妳(我 想想想想着妳)

这样的甜蜜 让我开始相信命运(让我开始)

感谢地心引力 让我碰到妳(感谢地心引力 让我碰到你~)

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

世界这样大而我而我只是只小小小的蚂蚁(小小小)

但我要尽全力全力全力保护妳

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人(WOW~呜~ 女人 让我面红的 心~疼的女人)

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的可爱女人

坏坏的让我疯狂的可爱女人

漂亮的让我面红的可爱女人

温柔的让我心疼的可爱女人

透明的让我感动的",周杰伦,2000-11-06,阿尔发音乐,833
完美主义,1,Jay,周杰伦,0/0,321260,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,244.58449,22012604,unknown,Jay Chou\Jay\0102.完美主义.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,9821927,0.025056,1/90000,445.0,方文山,周杰伦,"作词：方文山

作曲：周杰伦

编曲：洪敬尧

如果说怀疑 可以造句 如果说分离 能够翻译

如果这一切 真的可以 我想要将我的寂寞封闭

然后在这里 不限日期 然后将过去 慢慢温习

让我爱上妳 那场悲剧 是妳完美演出的一场戏

宁愿心碎哭泣 再狠狠忘记 妳爱过我的证据

让晶莹的泪滴 闪烁成回忆 伤人的美丽

妳的完美主义 太彻底 让我连恨都难以下笔

将真心抽离写成日记 像是一场默剧

妳的完美主义 太彻底 分手的话像语言暴力

我已无能为力再提起 决定中断熟悉

然后在这里 不限日期 然后将过去 慢慢温习

让我爱上妳 那场悲剧 是妳完美演出的一场戏

宁愿心碎哭泣 再狠狠忘记 妳爱过我的证据

让晶莹的泪滴 闪烁成回忆 伤人的美丽

妳的完美主义 太彻底 让我连恨都难以下笔

将真心抽离写成日记 像是一场默剧

妳的完美主义 太彻底 分手的话像语言暴力

我已无能为力再提起 决定中断熟悉

周杰伦周杰伦周杰伦 周杰伦周杰伦周杰伦

周杰伦周杰伦周杰伦 周杰伦周杰伦

周杰伦周杰伦周杰伦 周杰伦周杰伦周杰伦

周杰伦周杰伦周杰伦 周杰伦周杰伦

我每天在这里 连恨都难下笔.........

如果说怀疑 可以造句 如果说分离 能够翻译

如果这一切 真的可以 我想要将我的寂寞封闭",洪敬尧,2000-11-06,阿尔发音乐,552
星晴,1,Jay,周杰伦,0/0,321188,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,259.448163,23350335,unknown,Jay Chou\Jay\0103.星晴.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,10416474,0.025056,1/90000,445.0,周杰伦,周杰伦,"作词：周杰伦

作曲：周杰伦

编曲：洪敬尧

一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

乘着风 游荡在蓝天边 一片云掉落在我面前

捏成你的形状 随风跟着我 一口一口吃掉忧愁

载着你 仿佛载着阳光 不管到哪里都是晴天

蝴蝶自在飞 花也布满天 一朵一朵因你而香

试图让夕阳飞翔(因你而香)

带领你我环绕大自然(想带领你我环~~~绕大自然)

迎著风 开始共度每一天(每~~~~一~~~~天)

手牵手 一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

背对背默默许下心愿(背对背~~~baby)

看远方的星是否听得见

手牵手 一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

背对背默默许下心愿(背对背~~~baby)

看远方的星如果听得见 它一定实现

载着你 仿佛载着阳光 不管到哪里都是晴天

蝴蝶自在飞 花也布满天 一朵一朵因你而香

试图让夕阳飞翔(因你而香)

带领你我环绕大自然(想带领你我环~~~绕大自然)

迎著风 开始共度每一天(每~~~~一~~~~天)

手牵手 一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

背对背默默许下心愿(背对背~~~baby)

看远方的星是否听得见

手牵手 一步两步三步四步 望着天

看星星 一颗两颗三颗四颗 连成线

背对背默默许下心愿(背对背~~~baby)

看远方的星如果听得见 它一定实现",洪敬尧,2000-11-06,阿尔发音乐,649
娘子,1,Jay,周杰伦,0/0,321137,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,271.046531,24394188,unknown,Jay Chou\Jay\0104.娘子.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,10880409,0.025056,1/90000,445.0,方文山,周杰伦,"作词：方文山

作曲：周杰伦

编曲：周杰伦

娘子 娘子却依旧每日折一枝杨柳

妳在那里 在小村外的溪边河口 默默等着我

娘子依旧每日折一枝杨柳

妳在那里 在小村外的溪边 默默等著 娘子

一壶好酒 再来一碗热粥 配上几斤的牛肉

我说店小二 三两银够不够

景色入秋 漫天黄沙掠过 塞北的客栈人多

牧草有没有 我马儿有些瘦

世事看透 江湖上潮起潮落 什么恩怨过错 在多年以后

还是让人难过 心伤透 娘子她人在江南等我 泪不休 语沉默

娘子却依旧每日折一枝杨柳 在小村外的溪边河口 默默的在等着我

家乡的爹娘早已苍老了轮廓 娘子我欠妳太多

一壶好酒 再来一碗热粥 配上几斤的牛肉

我说店小二 三两银够不够

景色入秋 漫天黄沙掠过 塞北的客栈人多

牧草有没有 我马儿有些瘦

天涯尽头 满脸风霜落寞 近乡情怯的我 相思寄红豆

相思寄红豆 无能为力的在人海中漂泊 心伤透

娘子她人在江南等我 泪不休 语沉默

一壶好酒 再来一碗热粥 配上几斤的牛肉

我说店小二 三两银够不够

景色入秋 漫天黄沙掠过 塞北的客栈人多

牧草有没有 我马儿有些瘦

世事看透 江湖上潮起潮落 什么恩怨过错 在多年以后

还是让人难过 心伤透 娘子她人在江南等我 泪不休 语沉默

娘子却依旧每日折一枝杨柳 在小村外的溪边河口 默默的在等着我

家乡的爹娘早已苍老了轮廓 娘子我欠妳太多

一壶好酒 再来一碗热粥 配上几斤的牛肉

我说店小二 三两银够不够

景色入秋 漫天黄沙掠过 塞北的客栈人多

牧草有没有 我马儿有些瘦

天涯尽头 满脸风霜落寞 近乡情怯的我 相思寄红豆

相思寄红豆 无能为力的在人海中漂泊 心伤透

娘子她人在江南等我 泪不休 语沉默

娘子 娘子却依旧每日折一枝杨柳

妳在那里 在小村外的溪边河口 默默等着我

娘子依旧每日折一枝杨柳

妳在那里 在小村外的溪边 默默等著 娘子

娘子却依旧每日折一枝杨柳

妳在那里 在小村外的溪边河口 默默等着我

娘子依旧每日折一枝杨柳

妳在那里 在小村外的溪边 默默等著 娘子",周杰伦,2000-11-06,阿尔发音乐,879
斗牛,1,Jay,周杰伦,0/0,321105,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,278.961633,25106547,unknown,Jay Chou\Jay\0105.斗牛.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,11197013,0.025056,1/90000,445.0,方文山,周杰伦,"作词：方文山

作曲：周杰伦

编曲：洪敬尧

要不要挑一下 啊 挑一下丫 随便阿˙

有什么不妥 有话就直说 别窝在角落 不爽就反驳

到底跩什么 懂不懂篮球 有种不要走 三对三斗牛

有什么不妥 有话就直说 别窝在角落 不爽就反驳

到底跩什么 懂不懂篮球 有种不要走 三对三斗牛

三分球 它在空中停留 所有人看着我 抛物线入球

单手过人运球 篮下妙传出手 漂亮的假动作 帅呆了我

全场盯人防守 篮下禁区游走 快攻抢篮板球 得分都靠我

你拿了球不投 又不会掩护我 选你这种队友 瞎透了我

说你说 分数怎么停留 一直在停留 谁让它停留的

为什么 我女朋友 场外加油 你却还让我出糗

你说啊 你怎么抄我球 你说啊 你怎么打我手

你说 是不是你不想活

说 你怎么面对我 甩开球 我满腔的怒火

我想揍你已经很久 别想走

说 你眼睛看着我 别发抖 你给我抬起头

有话去对医药箱说 别怪我

说 你怎么面对我 甩开球 我满腔的怒火

我想揍你已经很久 别想走

说 你眼睛看着我 别发抖 你给我抬起头

有话去对医药箱说 别怪我

三分球 它在空中停留 所有人看着我 抛物线入球

单手过人运球 篮下妙传出手 漂亮的假动作 帅呆了我

全场盯人防守 篮下禁区游走 快攻抢篮板球 得分都靠我

你拿了球不投 又不会掩护我 选你这种队友 瞎透了我

说你说 分数怎么停留 一直在停留 谁让它停留的

为什么 我女朋友 场外加油 你却还让我出糗

你说啊 你怎么抄我球 你说啊 你怎么打我手

你说 是不是你不想活

说 你怎么面对我 甩开球 我满腔的怒火

我想揍你已经很久 别想走

说 你眼睛看着我 别发抖 你给我抬起头

有话去对医药箱说 别怪我

说 你怎么面对我 甩开球 我满腔的怒火

我想揍你已经很久 别想走

说 你眼睛看着我 别发抖 你给我抬起头

有话去对医药箱说 别怪我

说 你怎么面对我 甩开球 我满腔的怒火

我想揍你已经很久 别想走

说 你眼睛看着我 别发抖 你给我抬起头

有话去对医药箱说 别怪我",洪敬尧,2000-11-06,阿尔发音乐,872
黑色幽默,1,Jay,周杰伦,0/0,321088,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,283.193469,25487412,unknown,Jay Chou\Jay\0106.黑色幽默.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,11366286,0.025056,1/90000,445.0,周杰伦,周杰伦,"作词：周杰伦

作曲：周杰伦

编曲：钟兴民

难过 是因为闷了很久

是因为想了太多 是心理起了作用

你说 苦笑常常陪着你

在一起有点勉强 该不该现在休了我

不想太多

我想一定是我听错弄错搞错

拜托 我想是你的脑袋有问题

随便说说

其实我早己经猜透看透不想多说

只是我怕眼泪撑不住

不懂 你的黑色幽默

想通 却又再考倒我

说散 你想很久了吧

我不想拆穿你

当作 是你开的玩笑

想通 却又再考倒我

说散 你想很久了吧

败给你的黑色幽默

不想太多

我想一定是我听错弄错搞错

拜托 我想是你的脑袋有问题

随便说

己经猜透看透不想多说

怕眼泪撑不住

不懂 你的黑色幽默

想通 却又再考倒我

说散 你想很久了吧

我不想拆穿你

当作 是你开的玩笑

想通 却又再考倒我

说散 你想很久了吧

败给你的黑色幽默

说散 你想很久了吧

我的认真败给黑色幽默",钟兴民,2000-11-06,阿尔发音乐,400
伊斯坦堡,1,Jay,周杰伦,0/0,321473,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,209.214694,18829322,unknown,Jay Chou\Jay\0107.伊斯坦堡.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,8407135,0.025056,1/90000,445.0,徐若瑄,周杰伦,"作词：徐若瑄

作曲：周杰伦

编曲：洪敬尧

走过了很多地方 我来到伊斯坦堡

就像是童话故事 有教堂有城堡

每天忙碌地寻找 到底什么我想要

却发现迷了路怎么找也找不着

心血来潮起个大早 怎么我也睡不着

昨晚梦里你来找 我才

原来我只想要你陪我去吃汉堡

说穿了其实我的愿望就这么小

就这么每天祈祷我的心跳你知道

杵在伊斯坦堡却 只想你和汉堡

我想要你的微笑每天都能看到

我知道这里很美但家乡的你更美

走过了很多地方 我来到伊斯坦堡

就像是童话故事 有教堂有城堡

每天忙碌地寻找 到底什么我想要

却发现迷了路怎么找也找不着

心血来潮起个大早 怎么我也睡不着

昨晚梦里你来找 我猜

原来我只想要你陪我去吃汉堡

说穿了其实我的愿望就这么小

就这么每天祈祷我的心跳你知道

住在伊斯坦堡却 只想你和汉堡

我想要你的微笑每天都能看到

我知道这里很美但家乡的你更美

原来我只想要你陪我去吃汉堡

说穿了其实我的愿望就这么小

就这么每天祈祷我的心跳你知道

住在伊斯坦堡却 只想你和汉堡

我想要你的微笑每天都能看到

我知道这里很美但家乡的你更美",洪敬尧,2000-11-06,阿尔发音乐,491
印地安老斑鸠,1,Jay,周杰伦,0/0,320908,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,304.587755,27412898,unknown,Jay Chou\Jay\0108.印地安老斑鸠.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,12218085,0.025056,1/90000,445.0,方文山,周杰伦,"作词：方文山

作曲：周杰伦

编曲：洪敬尧

沙漠之中怎么会有泥鳅 话说完飞过一只海鸥

大峡谷的风呼啸而过 是谁说没有

有一条热昏头的响尾蛇 无力的躺在干枯的河

在等待雨季来临变沼泽

灰狼啃食著水鹿的骨头 秃鹰盘旋死盯着腐肉

草原上两只敌对野牛 在远方决斗

在一处被废弃的白蚁丘 站着一只饿昏的老斑鸠

印地安老斑鸠 腿短毛不多 几天都没有喝水也能活

脑袋瓜有一点秀逗 猎物死了牠比谁都难过

印地安斑鸠 会学人开口 仙人掌怕羞 蜥蝪横著走

这里什么奇怪的事都有 包括像猫的狗

印地安老斑鸠 平常话不多 除非是乌鸦抢了牠的窝

牠在灌木丛旁邂逅 一只令牠心仪的母斑鸠

牛仔红蕃 在小镇 背对背决斗

一只灰狼 问候我 谁是神枪手

巫师 他唸唸 有词的 对酋长 下诅咒 还我骷髅头

这故事 告诉我 印地安 的传说 还真是 瞎透了 什么都有

沙漠之中怎么会有泥鳅 话说完飞过一只海鸥

大峡谷的风呼啸而过 是谁说没有

有一条热昏头的响尾蛇 无力的躺在干枯的河

在等待雨季来临变沼泽

灰狼啃食著水鹿的骨头 秃鹰盘旋死盯着腐肉

草原上两只敌对野牛 在远方决斗

在一处被废弃的白蚁丘 站着一只饿昏的老斑鸠

印地安老斑鸠 腿短毛不多 几天都没有喝水也能活

脑袋瓜有一点秀逗 猎物死了牠比谁都难过

印地安斑鸠 (哦 我休息一下！) 仙人掌怕羞 蜥蝪横著走

这里什么奇怪的事都有 包括像猫的狗

印地安老斑鸠 腿短毛不多 除非是乌鸦抢了牠的窝

它在灌木丛旁邂逅 一只令它心仪的母斑鸠

你笑屁啊 你笑屁啊 你笑屁啊 呵呵呵……

印地安老斑鸠 腿短毛不多 几天都没有喝水也能活

脑袋瓜  猎物死了它比谁都难过

印地安斑鸠 会学人开口 仙人掌怕羞 蜥蝪横著走

这里什么奇怪的事都有 包括像猫的狗

印地安老斑鸠 平常话不多 除非是乌鸦抢了它的窝

它在灌木丛旁邂逅 一只令它心仪的母斑鸠",洪敬尧,2000-11-06,阿尔发音乐,811
龙卷风,1,Jay,周杰伦,0/0,321102,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,250.906122,22581551,unknown,Jay Chou\Jay\0109.龙卷风.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,10070813,0.025056,1/90000,445.0,徐若瑄,周杰伦,"作词：徐若瑄

作曲：周杰伦

编曲：钟兴民

爱像一阵风 吹完它就走 这样的节奏 谁都无可奈何

没有妳以后 我灵魂失控 黑云在降落 我被它拖着走

静静悄悄默默离开陷入了危险边缘 Baby~

我的世界已狂风暴雨

Wu~

爱情来的太快就像龙卷风 离不开暴风圈 来不及逃

我不能再想 我不能再想我不 我不 我不能

爱情走的太快就像龙卷风 不能承受 我已无处可躲

我不要再想 我不要再想我不 我不 我不要再想你

不知不觉 你已经离开我 不知不觉 我跟了这节奏

后知后觉 又过了一个秋 后知后觉 我该好好生活

静静悄悄默默离开陷入了危险边缘 Baby~

我的世界已狂风暴雨

Wu~

爱情来的太快就像龙卷风 离不开暴风圈 来不及逃

我不能再想 我不能再想我不 我不 我不能

爱情走的太快就像龙卷风 不能承受 我已无处可躲

我不要再想 我不要再想我不 我不 我不要再想你

(间奏)

Wu~

爱情来的太快就像龙卷风 离不开暴风圈 来不及逃

我不能再想 我不能再想我不 我不 我不能

爱情走的太快就像龙卷风 不能承受 我已无处可躲

我不要再想 我不要再想我不 我不 我不要再想你

不知不觉 你已经离开我 不知不觉 我跟了这节奏

后知后觉 又过了一个秋 后知后觉 我该好好生活

不知不觉 你已经离开我 不知不觉 我跟了这节奏

后知后觉 又过了一个秋 后知后觉 我该好好生活

不知不觉 你已经离开我 不知不觉 我跟了这节奏

后知后觉 后知后觉",钟兴民,2000-11-06,阿尔发音乐,640
反方向的钟,1,Jay,周杰伦,0/0,321073,8.0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,389.0,445.0,unknown,pc,bt470bg,unknown,445:389,257.645714,23188114,unknown,Jay Chou\Jay\0110.反方向的钟.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0.0,389.0,1,-99.0,2,yuvj420p,51,unknown,90000/1,1.0,1:1,s16p,44100,10340403,0.025056,1/90000,445.0,方文山,周杰伦,"作词：方文山

作曲：周杰伦

编曲：周杰伦

ㄅㄆㄇㄈㄉㄊㄋㄌㄍㄎㄏ ㄅㄆㄇㄈㄉㄊㄋㄌㄍㄎㄏㄐ

ㄅㄆㄇㄈㄉㄊㄋㄌㄍㄎㄏ ㄅㄆㄇㄈㄉㄊㄋㄌ

迷迷濛濛 你给的梦 出现裂缝 隐隐作痛

怎么沟通 你都没空 说我不懂 说了没用

他的笑容 有何不同 在你眼中 我不再受宠

我的天空 是雨是风 还是彩虹 你在操纵

恨自己真的没用 情绪激动

一颗心到现在还在抽痛

还为分手前那句抱歉 在感动

穿梭时间的画面的钟 从反方向 开始移动

回到当初爱你的时空 停格内容 不忠

所有回忆对着我进攻 我的伤口 被你拆封

誓言太沉重泪被纵容 脸上汹涌 失控

城市霓虹 不安跳动 染红夜空

过去种种 像一场梦 不敢去碰

一想就痛 心碎内容 每一秒钟 都有不同 你不懂

连一句珍重 也有苦衷 也不想送

寒风中 废墟烟囱 停止转动 一切落空

在人海中 盲目跟踪 别人的梦 全面放纵

恨没有用 疗伤止痛 不再感动 没有梦

痛不知轻重 泪水鲜红 全面放纵

恨自己真的没用 情绪激动

一颗心到现在还在抽痛

还为分手前那句抱歉在感动

穿梭时间的画面的钟 从反方向 开始移动

回到当初爱你的时空 停格内容 不忠

所有回忆对着我进攻 我的伤口 被你拆封

誓言太沉重泪被纵容 脸上汹涌 失控

穿梭时间的画面的钟 从反方向 开始移动

回到当初爱你的时空 停格内容 不忠",周杰伦,2000-11-06,阿尔发音乐,588
