song,lyricist,composer,arranger
一路向北,方文山,周杰伦,蔡科俊
发如雪,方文山,周杰伦,
四面楚歌,周杰伦,周杰伦,
夜曲,方文山,周杰伦,
枫,宋健彰(弹头),周杰伦,
浪漫手机,方文山,周杰伦,
珊瑚海(&梁心颐),方文山,周杰伦,钟兴民
蓝色风暴,方文山,周杰伦,
逆鳞,黄俊郎,周杰伦,
飘移,方文山/ST,周杰伦,
麦芽糖,方文山,周杰伦,
黑色毛衣,周杰伦,周杰伦,林迈可
七里香,方文山,周杰伦,钟兴民
乱舞春秋,方文山,周杰伦,钟兴民
借口,周杰伦,周杰伦,周杰伦
园游会,方文山,周杰伦,洪敬尧
困兽之斗,刘畊宏,周杰伦,蔡科俊Again
外婆,周杰伦,周杰伦,周杰伦
将军,黄俊郎,周杰伦,洪敬尧
我的地盘,方文山,周杰伦,洪敬尧
搁浅,宋健彰,周杰伦,钟兴民
止战之殇,方文山,周杰伦,周杰伦
不能说的秘密,方文山,周杰伦,
千里之外(&费玉清),方文山,周杰伦,
千里之外电影版MV(DVD),方文山,周杰伦,
听妈妈的话,周杰伦,周杰伦,
夜的第七章,黄俊郎,周杰伦,
夜的第七章电影版MV(DVD),黄俊郎,周杰伦,
心雨,方文山,周杰伦,
本草纲目,方文山,周杰伦,
白色风车,周杰伦,周杰伦,
红模仿,周杰伦,周杰伦,
菊花台,方文山,周杰伦,
迷迭香,方文山,周杰伦,
退后,宋健彰,周杰伦,
分裂,周杰伦,周杰伦,钟兴民
半兽人,方文山,周杰伦,迈可林
半岛铁盒,周杰伦,周杰伦,迈可林
回到过去,刘畊宏,周杰伦,迈可林
暗号,许世昌,周杰伦,迈可林
最后的战役(完整版Mtv),方文山,周杰伦,钟兴民
最后的战役(电影版Mtv),方文山,周杰伦,钟兴民
最后的战役,方文山,周杰伦,钟兴民
火车叨位去,方文山,周杰伦,洪敬尧
爷爷泡的茶,方文山,周杰伦,林迈可
米兰的小铁匠,方文山,周杰伦,洪敬尧
龙拳,方文山,周杰伦,洪敬尧
乌克丽丽,周杰伦,周杰伦,林迈可
傻笑(& 袁咏琳),方文山,周杰伦,黄雨勋
公公偏头痛,方文山,周杰伦,周杰伦
哪里都是你,周杰伦,周杰伦,黄雨勋
四季列车,方文山,周杰伦,周杰伦
大笨钟,周杰伦,周杰伦,黄雨勋
手语,周杰伦,周杰伦,林迈可
明明就,方文山,周杰伦,黄雨勋
梦想启动,林义杰,周杰伦,林迈可
比较大的大提琴(&梁心颐&杨瑞代),方文山,周杰伦,黄雨勋
爱你没差,黄凌嘉,周杰伦,黄雨勋
红尘客栈,方文山,周杰伦,黄雨勋
三年二班,方文山,周杰伦,洪敬尧
东风破,方文山,周杰伦,林迈可
他的睫毛,方文山,周杰伦,周杰伦
以父之名,黄俊郎,周杰伦,洪敬尧
你听得到,曾郁婷,周杰伦,林迈可
双刀,方文山,周杰伦,钟兴民
同一种调调,方文山,周杰伦,钟兴民
懦夫,周杰伦,周杰伦,周杰伦
晴天,周杰伦,周杰伦,周杰伦
梯田,周杰伦,周杰伦,周杰伦
爱情悬崖,徐若瑄,周杰伦,钟兴民
Now You See Me,方文山,周杰伦,黄雨勋
一点点,方文山,周杰伦,黄雨勋
